iter	Passed	Remaining
0	62	62588
1	66	33209
2	71	23680
3	75	18737
4	79	15782
5	83	13791
6	87	12390
7	91	11368
8	95	10541
9	99	9831
10	102	9248
11	106	8762
12	110	8397
13	114	8033
14	117	7729
15	121	7483
16	125	7261
17	129	7050
18	132	6844
19	135	6650
20	138	6468
21	142	6315
22	145	6167
23	148	6052
24	151	5926
25	154	5802
26	159	5736
27	162	5634
28	165	5537
29	168	5459
30	171	5369
31	174	5292
32	177	5215
33	181	5150
34	185	5108
35	188	5047
36	192	5013
37	196	4962
38	199	4905
39	202	4865
40	206	4822
41	209	4785
42	212	4738
43	216	4698
44	219	4663
45	223	4634
46	226	4596
47	229	4559
48	233	4525
49	236	4494
50	239	4463
51	242	4427
52	246	4397
53	249	4363
54	252	4336
55	255	4309
56	258	4279
57	262	4256
58	265	4228
59	268	4204
60	271	4182
61	274	4158
62	277	4132
63	280	4109
64	283	4084
65	287	4072
66	291	4056
67	294	4032
68	297	4012
69	300	3998
70	304	3985
71	308	3975
72	311	3954
73	314	3934
74	317	3917
75	320	3902
76	324	3894
77	328	3879
78	331	3861
79	335	3853
80	339	3846
81	343	3845
82	346	3826
83	349	3810
84	352	3793
85	355	3781
86	359	3773
87	362	3756
88	365	3743
89	368	3726
90	372	3717
91	375	3709
92	378	3696
93	382	3688
94	385	3674
95	389	3670
96	393	3665
97	396	3651
98	399	3638
99	403	3629
100	407	3624
101	411	3619
102	414	3607
103	418	3601
104	421	3593
105	424	3583
106	427	3571
107	431	3562
108	434	3555
109	439	3551
110	442	3543
111	445	3530
112	448	3519
113	451	3507
114	455	3503
115	458	3496
116	461	3484
117	465	3476
118	467	3464
119	471	3459
120	475	3450
121	477	3438
122	481	3431
123	484	3426
124	488	3420
125	492	3413
126	495	3403
127	498	3396
128	502	3390
129	505	3385
130	509	3379
131	512	3371
132	515	3362
133	519	3358
134	523	3352
135	526	3342
136	530	3339
137	533	3331
138	536	3326
139	540	3319
140	543	3308
141	547	3306
142	550	3301
143	554	3298
144	557	3289
145	561	3282
146	564	3275
147	568	3270
148	571	3264
149	574	3255
150	577	3249
151	581	3242
152	585	3238
153	589	3237
154	593	3233
155	596	3227
156	599	3220
157	603	3215
158	607	3211
159	610	3206
160	613	3199
161	617	3192
162	621	3189
163	624	3181
164	627	3173
165	630	3166
166	633	3160
167	638	3161
168	642	3158
169	646	3157
170	650	3154
171	654	3152
172	658	3146
173	661	3140
174	664	3133
175	670	3137
176	676	3145
177	680	3143
178	685	3144
179	691	3148
180	694	3143
181	697	3136
182	702	3134
183	706	3132
184	710	3129
185	714	3125
186	718	3124
187	721	3117
188	724	3109
189	727	3103
190	731	3098
191	735	3096
192	738	3089
193	742	3083
194	745	3078
195	749	3076
196	753	3072
197	757	3066
198	760	3060
199	765	3060
200	768	3056
201	771	3049
202	774	3042
203	777	3035
204	782	3033
205	785	3027
206	788	3021
207	791	3015
208	794	3007
209	798	3005
210	802	3000
211	805	2994
212	808	2988
213	811	2981
214	816	2980
215	819	2973
216	822	2967
217	825	2961
218	828	2955
219	832	2953
220	836	2950
221	840	2944
222	843	2939
223	847	2936
224	850	2930
225	853	2924
226	857	2918
227	860	2913
228	864	2909
